docID,position,term,label_x,term_before_x,term_after_x,inPrefixSuffix,tf,idf,isCapitalized,hasDescriptivePrefix,hasDescriptiveSuffix,hasIngredient,pred_label,actual_label,true=pred
609,147,dairy plant,False,the,What,0.0,1,1.0,False,0,0,0,False,False,True
234,352,pass,False,monorail,If,0.0,1,0.25,False,0,0,0,False,False,True
511,84,kinda settled And,False,just,you,0.0,1,1.0,True,0,0,0,False,False,True
369,35,views,False,best,of,0.0,1,1.0,False,0,0,0,False,False,True
530,56,adventurous and,False,very,the,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
260,148,fixed,False,be,Even,0.0,1,1.0,False,0,0,0,False,False,True
504,4,Digiorno wishes,False,what,it,0.0,1,1.0,True,0,0,0,False,False,True
1000,13,vietnamese spring,False,their,roll,0.0,1,1.0,False,0,0,0,False,False,True
41,49,informed,False,were,we,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
610,422,fare,False,scrumptious,Five,0.0,1,0.16666666666666666,False,0,0,0,False,False,True
262,132,jus,False,au,or,0.0,1,1.0,False,0,0,0,False,False,True
514,45,potato skins,True,shriveled,overcooked,1.0,1,1.0,False,0,1,1,True,True,True
524,112,And,False,monstrosity,sweet,0.0,1,0.030303030303030307,True,0,0,0,False,False,True
234,175,turn,False,can,on,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
83,119,returning,False,be,the,0.0,1,1.0,False,0,0,0,False,False,True
25,12,posting,False,restaurant,and,0.0,1,1.0,False,0,0,0,False,False,True
501,38,overpriced,False,of,for,0.0,1,0.5,False,0,0,0,False,False,True
107,107,brushetta,True,ordered,as,1.0,3,0.3333333333333333,False,0,0,0,True,True,True
273,55,and,False,of,are,1.0,3,0.0010050251256281408,False,0,0,0,False,False,True
1035,17,blueberries and,False,with,was,0.0,1,1.0,False,1,1,0,True,False,False
29,52,kimchi fries,True,the,which,1.0,1,1.0,False,0,0,0,True,True,True
260,291,spread,False,nice,of,0.0,1,0.5,False,0,0,0,False,False,True
258,248,flaming,False,the,Parmesan,1.0,2,0.5,False,0,0,0,True,False,False
46,111,tastyThen,False,this,came,0.0,1,1.0,True,0,0,0,False,False,True
225,78,gift,False,for,shopping,0.0,1,1.0,False,0,0,0,False,False,True
149,31,breakfasts,False,our,which,0.0,1,1.0,False,0,0,0,False,False,True
163,70,and fell,False,overcooked,apart,0.0,1,1.0,False,0,0,0,False,False,True
69,3,Cheesecake,True,of,factory,1.0,1,1.0,True,0,0,0,True,True,True
248,32,steak,False,of,nachos,1.0,2,0.125,False,0,0,0,True,False,False
528,54,Hangover Hash,False,Hulas,The,0.0,1,0.5,True,0,0,0,False,False,True
610,20,repent,False,me,for,0.0,1,1.0,False,0,0,0,False,False,True
508,218,meat tomato lettuce,False,Pita,weird,0.0,1,1.0,False,0,0,1,False,False,True
271,139,orange,False,an,creamsicle,0.0,1,0.25,False,0,0,1,False,False,True
639,47,food,False,main,did,0.0,3,0.005405405405405407,False,0,0,0,False,False,True
525,72,palate,False,my,has,0.0,1,0.25,False,0,0,0,False,False,True
262,66,baked,False,a,potato,0.0,1,0.16666666666666666,False,0,0,0,False,False,True
27,66,food,False,Overall,and,0.0,1,0.005405405405405407,False,0,0,0,False,False,True
1005,14,noodles,False,pulled,Try,0.0,1,0.05555555555555555,False,0,0,0,False,False,True
39,25,Shrimp,False,bad,tempura,0.0,1,0.5,True,0,0,0,False,False,True
257,83,serves Starbucks,False,that,and,0.0,1,1.0,True,0,0,0,False,False,True
147,100,cabbage rolls,False,two,perogies,0.0,1,1.0,False,0,0,1,False,False,True
124,131,mousse,False,chocolate,on,0.0,1,0.25,False,1,0,0,False,False,True
1030,30,mac and cheese,True,some,The,0.0,1,0.16666666666666666,False,0,0,0,False,True,False
1003,74,and,False,coffee,she,0.0,6,0.0010050251256281408,False,0,0,0,False,False,True
119,199,tenderness,False,the,of,1.0,1,1.0,False,0,0,0,True,False,False
1033,41,vibes,False,musical,from,0.0,1,1.0,False,0,0,0,False,False,True
606,73,childlike,False,age,glee,0.0,1,1.0,False,0,0,0,False,False,True
268,121,earthy,False,the,spicy,0.0,1,0.5,False,0,0,0,False,False,True
61,131,egg seaweed pork,False,boil,belly,0.0,1,1.0,False,1,0,0,False,False,True
136,172,food and,False,their,we,0.0,2,0.05,False,0,0,0,False,False,True
119,180,baked and,False,been,was,0.0,1,1.0,False,0,0,0,False,False,True
504,67,crust,False,mega,bubbles,0.0,3,0.125,False,0,0,0,False,False,True
365,208,unless,False,go,youre,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
114,139,waited,False,We,for,0.0,1,0.16666666666666666,False,0,0,0,False,False,True
397,12,Beer Fest,False,Star,only,0.0,1,1.0,True,0,0,0,False,False,True
1011,83,filled,False,which,their,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
69,120,fried rice,False,Vegetarian,ok,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
1014,132,paced,False,snail,Go,0.0,1,1.0,False,0,0,0,False,False,True
604,230,hash and,False,potato,had,0.0,1,1.0,False,0,0,0,False,False,True
240,157,recieved,False,we,was,0.0,1,1.0,False,0,0,0,False,False,True
501,98,food,False,bar,and,0.0,4,0.005405405405405407,False,0,0,0,False,False,True
107,125,pasta,True,the,dishes,1.0,3,0.05555555555555555,False,0,0,0,True,True,True
604,199,stir,False,jerky,sticks,0.0,1,1.0,False,0,0,0,False,False,True
99,45,year,False,a,Well,0.0,1,0.25,False,0,0,0,False,False,True
246,51,chili,True,The,and,1.0,2,0.5,False,1,0,0,True,True,True
515,26,freakin,False,being,huge,0.0,1,0.25,False,0,0,0,False,False,True
107,14,greatWe,False,not,went,0.0,1,1.0,True,0,0,0,False,False,True
395,12,Sambalatte,False,other,locations,0.0,1,1.0,True,0,0,0,False,False,True
506,11,review ignore,False,this,the,0.0,1,1.0,False,0,0,0,False,False,True
245,21,drink,False,good,menu,0.0,1,0.06666666666666668,False,0,0,0,False,False,True
1014,49,Tofu Dolsot,False,the,Bibimbap,0.0,1,1.0,True,0,0,0,False,False,True
47,120,skin,False,red,potatoes,0.0,2,0.2,False,1,0,0,False,False,True
613,101,food,False,the,is,1.0,1,0.005405405405405407,False,0,0,0,False,False,True
383,45,food,False,enough,for,0.0,1,0.005405405405405407,False,0,0,0,False,False,True
114,106,sat,False,we,there,0.0,1,0.16666666666666666,False,0,0,0,False,False,True
136,205,blueberry,True,with,preservesMy,1.0,1,0.5,False,0,0,1,True,True,True
609,212,dayuuumthatssweet,False,puckered,face,0.0,1,1.0,False,0,0,0,False,False,True
509,391,passing train picture,False,a,in,0.0,1,1.0,False,0,0,0,False,False,True
612,144,mimosas,True,but,and,1.0,2,0.2,False,0,0,0,True,True,True
513,113,lacking,False,customer,a,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
235,40,fries,True,The,are,1.0,1,0.03448275862068965,False,0,1,0,True,True,True
271,147,cider,False,a,with,1.0,1,1.0,False,0,0,0,True,False,False
506,207,pinto beans,True,torillas,salsa,1.0,2,0.5,False,0,0,1,True,True,True
44,140,supposed,False,are,to,0.0,1,0.5,False,0,0,0,False,False,True
53,9,mark,False,those,on,0.0,1,1.0,False,0,0,0,False,False,True
46,170,Montreal smoked,False,a,meat,0.0,1,1.0,True,0,0,0,False,False,True
612,7,def,False,most,a,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
246,91,and,False,patient,be,0.0,4,0.0010050251256281408,False,0,0,0,False,False,True
270,49,guard,False,sneeze,and,0.0,1,1.0,False,0,0,0,False,False,True
100,231,smoothie,False,your,It,0.0,1,1.0,False,0,0,0,False,False,True
169,141,eyes,False,Your,never,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
608,130,noodles,True,of,drowning,1.0,4,0.05555555555555555,False,0,0,0,True,True,True
171,56,curry dish,False,chicken,and,1.0,1,1.0,False,0,0,0,True,False,False
632,29,sauce,True,tomato,the,1.0,2,0.021739130434782608,False,0,0,0,True,True,True
398,29,moment,False,this,Their,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
251,21,chives aioli,False,sauce,and,1.0,1,1.0,False,0,0,1,True,False,False
514,19,sneer,False,nose,or,0.0,1,1.0,False,0,0,0,False,False,True
609,129,and,False,Broadway,what,0.0,8,0.0010050251256281408,False,0,0,0,False,False,True
100,78,and,False,seated,the,0.0,19,0.0010050251256281408,False,0,0,0,False,False,True
516,26,and tasting,False,floppy,of,0.0,1,1.0,False,0,0,0,False,False,True
44,121,And,False,lemonade,when,0.0,1,0.030303030303030307,True,0,0,0,False,False,True
372,133,naan,True,a,just,1.0,1,1.0,False,0,0,0,True,True,True
379,95,and,False,small,that,0.0,2,0.0010050251256281408,False,0,0,0,False,False,True
44,106,mango,False,slush,came,0.0,2,0.5,False,0,0,1,True,False,False
225,5,lived,False,have,in,0.0,1,1.0,False,0,0,0,False,False,True
506,207,torillas pinto beans,False,two,salsa,0.0,1,1.0,False,0,0,1,False,False,True
518,57,biriani,False,the,rice,0.0,1,1.0,False,0,0,0,False,False,True
7,101,cuon steamed,False,banh,rice,0.0,1,1.0,False,0,0,0,False,False,True
1033,17,seen,False,Ive,two,0.0,1,0.16666666666666666,False,0,0,0,False,False,True
146,255,PS,False,Oh,They,0.0,1,1.0,True,0,0,0,False,False,True
518,12,cabbage,False,bread,slaw,0.0,2,0.25,False,0,0,1,False,False,True
44,180,kumquat lemonade,True,the,When,0.0,4,0.25,False,0,0,1,True,True,True
100,116,and waited,False,correctly,Problem,0.0,1,1.0,False,0,0,0,False,False,True
