,docID,position,term,label_x,term_before_x,term_after_x,inPrefixSuffix,tf,idf,isCapitalized,hasDescriptivePrefix,hasDescriptiveSuffix,hasIngredient,pred_label,actual_label,true=pred
0,2,12,and,False,decor,vibe,0.0,5,0.0010050251256281408,False,0,0,0,False,False,True
1,2,25,beef,False,their,tartar,0.0,1,0.06666666666666668,False,0,0,0,False,False,True
2,2,26,beef tartar,True,their,and,1.0,1,1.0,False,0,0,0,True,True,True
3,2,27,and,False,tartar,pork,0.0,5,0.0010050251256281408,False,0,0,0,False,False,True
4,2,27,beef tartar and,False,their,pork,0.0,1,1.0,False,0,0,0,False,False,True
5,2,28,tartar and pork,False,beef,belly,0.0,1,1.0,False,0,0,0,False,False,True
6,2,28,pork,False,and,belly,1.0,1,0.037037037037037035,False,0,0,0,False,False,True
7,2,29,and pork belly,False,tartar,to,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
8,2,29,pork belly,True,and,to,1.0,1,0.2,False,0,0,0,True,True,True
9,2,32,and,False,start,a,0.0,5,0.0010050251256281408,False,0,0,0,False,False,True
10,2,34,salmon,True,a,dish,1.0,1,0.125,False,0,0,0,True,True,True
11,2,35,dish,False,salmon,and,0.0,1,0.05263157894736842,False,0,0,0,False,False,True
12,2,36,salmon dish and,False,a,lamb,0.0,1,1.0,False,0,0,0,False,False,True
13,2,36,and,False,dish,lamb,0.0,5,0.0010050251256281408,False,0,0,0,False,False,True
14,2,36,dish and,False,salmon,lamb,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
15,2,37,and lamb,False,dish,meal,0.0,1,1.0,False,0,0,0,False,False,True
16,2,37,dish and lamb,False,salmon,meal,0.0,1,1.0,False,0,0,0,False,False,True
17,2,49,length,False,at,about,0.0,1,1.0,False,0,0,0,False,False,True
18,2,54,listed,False,the,ingredients,0.0,1,0.5,False,0,0,0,False,False,True
19,2,73,montreal,False,downtown,but,0.0,1,1.0,False,0,0,0,False,False,True
20,2,85,walk,False,minute,from,0.0,1,0.125,False,0,0,0,False,False,True
21,5,3,almond,False,chocolate,croissant,0.0,1,1.0,False,0,0,0,False,False,True
22,5,3,chocolate almond,False,their,croissant,0.0,1,1.0,False,0,0,0,False,False,True
23,5,4,chocolate almond croissant,True,their,and,1.0,1,1.0,False,0,0,0,True,True,True
24,5,4,almond croissant,False,chocolate,and,0.0,1,1.0,False,0,0,0,False,False,True
25,5,4,croissant,False,almond,and,0.0,1,0.5,False,1,0,0,False,False,True
26,5,5,and,False,croissant,it,0.0,3,0.0010050251256281408,False,0,0,0,False,False,True
27,5,5,almond croissant and,False,chocolate,it,0.0,1,1.0,False,0,0,0,False,False,True
28,5,11,and,False,light,buttery,0.0,3,0.0010050251256281408,False,0,0,0,False,False,True
29,5,17,chocolaty,False,how,If,0.0,1,1.0,False,0,0,0,False,False,True
30,5,24,breakfast,False,light,then,0.0,1,0.03571428571428571,False,0,0,0,False,False,True
31,5,33,coffee,False,a,latté,0.0,1,0.05,False,0,0,0,False,False,True
32,5,34,coffee latté,True,a,before,1.0,1,1.0,False,0,0,0,True,True,True
33,7,23,Chinatown,False,as,in,0.0,2,0.25,True,0,0,0,False,False,True
34,7,25,terms,False,in,of,0.0,1,0.25,False,0,0,0,False,False,True
35,7,27,pricing,False,of,slightly,0.0,1,1.0,False,0,0,0,False,False,True
36,7,29,higher,False,slightly,but,0.0,1,0.3333333333333333,False,0,0,0,False,False,True
37,7,36,Vietnamese,False,better,restaurants,0.0,2,0.5,True,0,0,0,False,False,True
38,7,37,Vietnamese restaurants,False,better,outside,0.0,1,1.0,True,0,0,0,False,False,True
39,7,37,restaurants,False,Vietnamese,outside,0.0,1,0.2,False,0,0,0,False,False,True
40,7,50,Chinatown,False,to,this,0.0,2,0.25,True,0,0,0,False,False,True
41,7,76,beef,True,phos,chicken,1.0,1,0.06666666666666668,False,0,0,0,True,True,True
42,7,76,phos beef,False,the,chicken,0.0,1,1.0,False,0,0,0,False,False,True
43,7,78,vegetarian,False,chicken,and,1.0,1,0.041666666666666664,False,0,0,0,True,False,False
44,7,79,and,False,vegetarian,they,0.0,2,0.0010050251256281408,False,0,0,0,False,False,True
45,7,79,vegetarian and,False,chicken,they,0.0,1,0.25,False,0,0,0,False,False,True
46,7,100,banh cuon,True,the,steamed,1.0,1,1.0,False,0,0,0,True,True,True
47,7,101,cuon steamed,False,banh,rice,0.0,1,1.0,False,0,0,0,False,False,True
48,7,101,banh cuon steamed,False,the,rice,0.0,1,1.0,False,0,0,0,False,False,True
49,7,102,steamed rice,False,cuon,noodle,0.0,1,1.0,False,0,0,0,False,False,True
50,7,103,rice noodle,False,steamed,and,0.0,1,1.0,False,0,0,0,False,False,True
51,7,103,noodle,False,rice,and,0.0,1,0.05882352941176471,False,1,0,0,False,False,True
52,7,103,steamed rice noodle,True,cuon,and,1.0,1,1.0,False,0,0,0,True,True,True
53,7,104,and,False,noodle,the,0.0,2,0.0010050251256281408,False,0,0,0,False,False,True
54,7,104,rice noodle and,False,steamed,the,0.0,1,1.0,False,0,0,0,False,False,True
55,8,4,coffee,True,this,house,1.0,3,0.05,False,0,0,0,True,True,True
56,8,6,and,False,house,wondered,0.0,3,0.0010050251256281408,False,0,0,0,False,False,True
57,8,7,and wondered,False,house,about,0.0,1,1.0,False,0,0,0,False,False,True
58,8,11,and,False,BF,I,0.0,3,0.0010050251256281408,False,0,0,0,False,False,True
59,8,23,quaint,False,Cute,coffee,0.0,1,0.5,False,0,0,0,False,False,True
60,8,24,coffee,True,quaint,shop,1.0,3,0.05,False,0,0,0,True,True,True
61,8,24,quaint coffee,False,Cute,shop,0.0,1,1.0,False,0,0,0,False,False,True
62,8,28,muskoka,False,nice,chairs,0.0,1,1.0,False,0,0,0,False,False,True
63,8,34,ice,False,an,coffee,0.0,1,0.1111111111111111,False,0,0,0,False,False,True
64,8,35,ice coffee,True,an,and,1.0,1,1.0,False,0,0,0,True,True,True
