Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
Age of Myth: Book One of The Legends of the First Empire,Michael J. Sullivan,Del Rey,2017-1-31,Paperback,464,4.5
Rise of the Dragons (Kings and Sorcerers--Book 1),Morgan Rice,Morgan Rice,2017-8-4,Hardcover,217,4.1
The Book of Deacon (Volume 1),Joseph Lallo,CreateSpace Independent Publishing Platform,2012-3-18,Kindle,322,4.3
A Quest of Heroes: Book #1 in the Sorcerer's Ring,Morgan Rice,Morgan Rice,2012-12-3,Hardcover,234,3.6
Fantasia: An Algerian Cavalcade,Dorothy S. Blair,Heinemann,1993-3-15,Kindle,227,4.2
The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,2018-1-13,Kindle,157,4.6
Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2017-3-23,Paperback,178,4.5
"Final Fantasy XV Guide: Walkthrough, Side Quests, Bounty Hunts, Food Recipes, Cheats, Secrets and More",Victor Arthur,CreateSpace Independent Publishing Platform,2017-1-9,Paperback,296,3.7
"Power, Faith, and Fantasy: America in the Middle East: 1776 to the Present",Michael B. Oren,W. W. Norton &amp,2008-2-17,Paperback,864,4.4
Fantasy Flower Garden: Adult Coloring Book of Fantastic Flowers and Friendly Animals,C L Aldridge,CreateSpace Independent Publishing Platform,2018-3-3,Paperback,102,5.0
"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,Princeton University Press,2017-9-5,Paperback,520,3.8
The Wolf of the North: Wolf of the North Book 1 (Volume 1),Duncan M Hamilton,CreateSpace Independent Publishing Platform,2016-10-24,Paperback,326,4.3
Fantasy of Freedom (The Tainted Accords) (Volume 4),Kelly St Clare,Kelly St. Clare,2016-10-10,Hardcover,284,4.9
Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,2017-6-6,Paperback,280,4.3
"Fantasia in D minor, K. 397: Sheet (Alfred Masterwork Edition)",Wolfgang Amadeus Mozart,Alfred Music,1987-4-1,Kindle,8,4.0
"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,Touchstone,2018-3-6,Hardcover,368,4.8
Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,2017-10-10,Kindle,280,4.8
Basic Fantasy Role-Playing Game 3rd Edition,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Kindle,170,4.8
Thinblade: Sovereign of the Seven Isles: Book One,David A. Wells,CreateSpace Independent Publishing Platform,2011-6-10,Hardcover,326,4.3
Empire of Storms (Throne of Glass),Sarah J. Maas,Bloomsbury USA Childrens,2017-9-5,Paperback,720,4.7
Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,Seven Seas,2018-5-15,Kindle,280,4.1
Fantasy League,Mike Lupica,Puffin Books,2015-7-14,Hardcover,320,4.6
Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,2002-0-0,Kindle,272,4.4
How to Draw and Paint Fantasy Architecture: From Ancient Citadels and Gothic Castles to Subterranean Palaces and Floating Fortresses,Rob Alexander,Barron's Educational Series,2010-11-1,Paperback,128,4.2
Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-1-7,Paperback,360,4.5
How to Draw Fantasy Art and RPG Maps: Step by Step Cartography for Gamers and Fans,Jared Blando,IMPACT Books,2015-9-1,Hardcover,128,4.6
Fantasy of Flight (The Tainted Accords) (Volume 2),Kelly St. Clare,Kelly St. Clare,2017-3-14,Kindle,274,4.7
A Child's Work: The Importance of Fantasy Play,Vivian Gussin Paley,University of Chicago Press,2005-5-27,Paperback,111,4.6
Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,CreateSpace Independent Publishing Platform,2015-2-16,Paperback,196,4.6
Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Jay Lake,Writer's Digest Books,2013-9-30,Paperback,406,3.9
Fighting Fantasy: Forest of Doom,Ian Livingstone,Scholastic,2017-9-7,Kindle,232,4.8
Final Fantasy V (Boss Fight Books),Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176,4.9
The Golden Ass (Penguin Classics),Apuleius,Penguin Classics,1999-1-1,Hardcover,304,4.3
Arcane (The Arinthian Line) (Volume 1),Sever Bronny,Sever Bronny Ltd.,2014-11-26,Hardcover,366,4.5
Fantasy of Frost (The Tainted Accords) (Volume 1),Kelly St. Clare,Kelly St. Clare,2017-3-14,Hardcover,264,4.5
"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-2-20,Hardcover,384,4.4
Fantasy Football For Dummies,Martin Signore,For Dummies,2007-7-2,Hardcover,288,4.5
The Ballad of Titha Mae: A Fantasy in Twelve Parts,Jon B. Dalvy,Independently published,2018-1-15,Paperback,343,4.9
The Rage of Dragons,Evan Winter,Beautiful Beast,2017-9-7,Kindle,438,4.7
"Final Fantasy X-2, Official Strategy Guide",Dan Birlew,BRADY GAMES,2003-11-13,Kindle,352,4.3
"The Marechal Chronicles: Volumes I, II and III: An Erotic Fantasy Tale (Volume 1)",Aim\u00e9lie Aames,CreateSpace Independent Publishing Platform,2014-5-20,Paperback,278,3.3
The Best American Science Fiction and Fantasy 2017 (The Best American Series ®),John Joseph Adams,Mariner Books,2017-10-3,Paperback,384,3.2
