_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating
0,1281,22,"The Magazine of Fantasy and Science Fiction, July 1969 (Volume 37, No. 1)",Fritz Leiber,Mercury Press,1969-0-0,Hardcover,,,"Gather, Darkness! (Nucleus Fantasy & Science Fiction)",Fritz Leiber,Collier Books,1992-12-01,Paperback,240.0,3.64
1,204,23,Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,2009-4-1,Kindle,288.0,3.2,Men in Love: Men's Sexual Fantasies: The Triumph of Love Over Rage,Nancy Friday,Dell,1982-12-15,Mass Market Paperback,544.0,3.7
2,31,26,Final Fantasy V (Boss Fight Books),Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176.0,4.9,Final Fantasy V,Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176.0,4.26
3,350,73,How to Write Science Fiction & Fantasy,Orson Scott Card,Writer's Digest Books,2001-9-15,Paperback,140.0,4.2,"Best Fantasy Value Collection, 3 (Fantasy Library)",Orson Scott Card,Dercum Audio,1997-11-01,Audio Cassette,,0.0
4,620,94,Draw More Furries: How to Create Anthropomorphic Fantasy Creatures,Jared Hodges,IMPACT Books,2012-11-23,Kindle,128.0,4.6,Draw More Furries: How to Create Anthropomorphic Fantasy Animals,Jared Hodges,Impact,2012-11-23,Paperback,127.0,4.42
5,529,97,Dismantling the Fantasy: An Invitation to the Fullness of Life,Darryl Bailey,Non-Duality,2010-4-30,Hardcover,112.0,4.2,Dismantling the Fantasy: An Invitation to the Fullness of Life,Darryl Bailey,Non-Duality,2010-04-30,Paperback,112.0,4.26
6,1165,104,Fantasy Art Expedition,Finlay Cowan,IMPACT Books,2010-3-26,Kindle,128.0,4.8,Fantasy Art Expedition,Finlay Cowan,Impact,2010-03-01,Paperback,128.0,4.13
11,796,212,"The Year's Best Science Fiction & Fantasy, 2009 Edition (Year's Best Science Fiction and Fantasy)",Rich Horton,Prime Books,2010-1-5,Hardcover,544.0,3.7,Unplugged: The Web's Best Sci-Fi & Fantasy: 2008 Download,Rich Horton,Wyrm Publishing,2009-12-23,Paperback,295.0,3.66
12,527,212,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,2016-6-21,Hardcover,576.0,3.9,Unplugged: The Web's Best Sci-Fi & Fantasy: 2008 Download,Rich Horton,Wyrm Publishing,2009-12-23,Paperback,295.0,3.66
13,611,217,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, July/August 2011",Gordon Van Gelder,Spilogale,2011-07-01,Paperback,258.0,3.53
14,611,218,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, March/April 2013",Gordon Van Gelder,"Spilogale, Inc.",2013-03-01,Paperback,258.0,3.38
16,563,245,The Evolution of Fantasy Role-Playing Games,Michael J. Tresca,McFarland,2010-11-16,Kindle,238.0,4.1,Flights of Fantasy,Michael J. Hayde,BearManor Media,2009-05-14,Paperback,536.0,4.25
17,631,257,The Writer's Guide to Fantasy Literature: From Dragon's Lair to Hero's Quest,Philip Martin,Kalmbach Publishing Co.,2002-1-1,Hardcover,192.0,4.8,A Guide to Fantasy Literature: Thoughts on Stories of Wonder and Enchantment,Philip Martin,Crickhollow Books,2009-07-01,Paperback,147.0,3.8
18,1084,272,"Mistborn Trilogy Boxed Set (Mistborn, The Hero of Ages, & The Well of Ascension)",Brandon Sanderson,Tor Fantasy,2009-11-3,Paperback,,4.6,Mistborn Adventure Game: A House of Ashes,Brandon Sanderson,Crafty Games,2011-11-23,ebook,150.0,3.75
20,136,281,"Fairies, Gnomes & Trolls: Create a Fantasy World in Polymer Clay",Maureen Carlson,North Light Books,2006-11-20,Hardcover,128.0,4.6,"Fairies, Gnomes & Trolls: Create a Fantasy World in Polymer Clay",Maureen Carlson,North Light Books,2006-11-20,Paperback,127.0,4.15
21,60,285,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,1999-11-4,Kindle,288.0,4.5,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,1998-06-12,Paperback,319.0,3.7
