_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Format,rtable_Pages,rtable_Rating,match
51,5,478,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,Kindle,157,4.6,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,Kindle Edition,182,3.88,0
378,13,2888,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,Paperback,280,4.3,"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,Paperback,224,3.43,1
309,13,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,Paperback,280,4.3,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,Kindle Edition,280,4.26,0
363,13,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,Paperback,280,4.3,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,Kindle Edition,280,4.1,0
310,16,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,Kindle,280,4.8,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,Kindle Edition,280,4.26,1
338,22,2719,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,Kindle,272,4.4,FINAL FANTASY X Official Strategy Guide,Dan Birlew,BradyGames,Paperback,272,4.26,1
152,22,1379,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,Kindle,272,4.4,Final Fantasy IX Official Strategy Guide (Video Game Books),Dan Birlew,BradyGames,Paperback,208,3.56,0
236,35,2044,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,Hardcover,384,4.4,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,Paperback,384,3.81,1
308,56,2611,The Best American Science Fiction and Fantasy 2016 (The Best American Series ®),John Joseph Adams,Mariner Books,Kindle,320,3.4,The Best American Science Fiction and Fantasy 2017,John Joseph Adams,Mariner Books,Paperback,354,3.75,0
21,60,285,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,Kindle,288,4.5,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,Paperback,319,3.7,0
269,60,2378,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,Kindle,288,4.5,Final Fantasy VIII Official Strategy Guide,David Cassady,BradyGames,Paperback,272,4.25,0
208,83,1871,The Fantasy Illustrator's Technique Book (Quarto Book),Gary A. Lippincott,Barron's Educational Series,Kindle,128,4.4,"The Fantasy Illustrator's Technique Book: From Creating Characters To Selling Your Work, Learn The Skills Of The Professional Fantasy Artist",Gary A. Lippincott,David & Charles Publishers,Paperback,128,4.13,0
154,106,1379,Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,Dan Birlew,Brady Games,Hardcover,160,4.5,Final Fantasy IX Official Strategy Guide (Video Game Books),Dan Birlew,BradyGames,Paperback,208,3.56,0
117,107,1044,Who's Been Sleeping in Your Head: The Secret World of Sexual Fantasies,Brett Kahr,Basic Books,Paperback,512,3.8,Sex and the Psyche: The Truth About Our Most Secret Fantasies,Brett Kahr,Penguin,Paperback,462,3.66,0
47,142,477,Fantasy Baseball for Smart People: The Art (and Science) of Being Contrarian in DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,Paperback,162,4.9,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,Kindle Edition,178,3.39,0
218,143,1936,"Fantasy Magazine, Issue 60 (Dec. 2016, People of Colo(u)r Destroy Fantasy! Special Issue) (Volume 60)",Daniel Jos\u00e9 Older,CreateSpace Independent Publishing Platform,Paperback,150,5,Fantasy Issue 60 - Dec. 2016: People of Colo(u)r Destroy Fantasy! Special Issue,Daniel José Older,John Joseph Adams,Kindle Edition,200,4.35,1
281,144,2420,The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,Adams Media,Kindle,256,4,The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,Adams Media,Paperback,256,3.92,1
52,168,478,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book),Joe Pisapia,Independently published,Paperback,182,4.1,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,Kindle Edition,182,3.88,1
286,171,2431,John Howe Fantasy Drawing Workshop,John Howe,IMPACT,Paperback,128,4.4,Fantasy Drawing Workshop,John Howe,Impact,Paperback,128,4.19,1
136,194,1262,Anatomy for Fantasy Artists: An Essential Guide to Creating Action Figures and Fantastical Forms,Glenn Fabry,Barron's Educational Series,Hardcover,160,3.9,Anatomy for Fantasy Artists: An Illustrator's Guide to Creating Action Figures and Fantastical Forms,Glenn Fabry,Barron's Educational Series,Paperback,128,3.73,1
376,204,2885,Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,Kindle,288,3.2,Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,Paperback,271,3.28,1
1,204,23,Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,Kindle,288,3.2,Men in Love: Men's Sexual Fantasies: The Triumph of Love Over Rage,Nancy Friday,Dell,Mass Market Paperback,544,3.7,0
48,214,477,Fantasy Football for Smart People: How to Dominate Your Draft,Jonathan Bales,CreateSpace Independent Publishing Platform,Kindle,132,4,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,Kindle Edition,178,3.39,0
29,221,407,"Dreamscapes: Creating Magical Angel, Faery & Mermaid Worlds In Watercolor",Stephanie Pui-Mun Law,Impact,Hardcover,176,4.8,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,Impact,Paperback,176,4.69,0
259,227,2274,Animals Real and Imagined: Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,Kindle,160,4.8,Animals Real and Imagined: The Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,Paperback,159,4.55,1
318,232,2616,Final Fantasy XII: The Complete Guide,Piggyback,Piggyback Interactive,Paperback,340,5,Final Fantasy XIII: Complete Official Guide - Collector's Edition,Piggyback,Piggyback,Hardcover,272,4.33,0
