_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Format,rtable_Pages,rtable_Rating,match
334,497,2681,"Final Fantasy Type-0 Side Story, Vol. 1: The Ice Reaper (Final Fantasy 0-Type)",Tetsuya Nomura,Yen Press,Paperback,176.0,5.0,"Final Fantasy Type-0 Side Story, Vol. 1: The Ice Reaper",Tetsuya Nomura,Yen Press,Paperback,176.0,3.96,1
530,386,400,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Dare: Sensual Tales of Fantasy & Suspense,Jenny Schwartz,Jenny Schwartz,Kindle Edition,300.0,3.88,0
386,582,2888,"Grimgar of Fantasy and Ash, Vol. 2 (manga) (Grimgar of Fantasy and Ash (manga))",Ao Jyumonji,Yen Press,Hardcover,240.0,5.0,"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,Paperback,224.0,3.43,0
784,386,2274,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Animals Real and Imagined: The Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,Paperback,159.0,4.55,0
637,386,1087,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Best of Teresa Wentzler: Fantasy Collection,Teresa Wentzler,Oxmoor House,Paperback,97.0,4.61,0
323,663,2616,Final Fantasy X-2: The Official Guide,Piggyback,Piggyback Interactive,Kindle,242.0,3.6,Final Fantasy XIII: Complete Official Guide - Collector's Edition,Piggyback,Piggyback,Hardcover,272.0,4.33,0
298,595,2570,Private Fantasies (Harlequin Temptation No. 682),Janelle Denison,Harlequin,Paperback,217.0,3.2,Seductive Fantasy (Fantasies Inc.),Janelle Denison,harlequin,Paperback,224.0,3.69,0
695,386,1552,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Fardoor: A Fantasy Adventure,Daniel Tascona,,Kindle Edition,275.0,3.79,0
510,386,285,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,Paperback,319.0,3.7,0
2261,1403,736,The Cartel Deluxe Edition: Books 1-3,,Urban Books,Kindle,400.0,,Falling for His Fantasy: Books 1 - 3,C.A.   Taylor,,Kindle Edition,168.0,3.13,0
21,60,285,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,Kindle,288.0,4.5,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,Paperback,319.0,3.7,0
883,404,170,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Other Voices: An Urban Fantasy Anthology,Diamant,Diamant,Kindle Edition,220.0,4.0,0
282,852,2423,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,Kindle,608.0,3.8,The Year's Best Fantasy and Horror 2008: Twenty-First Annual Collection,Ellen Datlow,Griffin,Paperback,571.0,3.92,0
571,386,634,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Lost Healer: A Fantasy of Love,Rachel  Robins,Createspace Independent Publishing Platform,Paperback,,3.65,0
206,538,1866,Final Fantasy XIII-2 - The Complete Official Guide,Piggyback,Piggyback Interactive,Hardcover,304.0,4.5,Final Fantasy X: The Official Strategy Guide,Piggyback,Piggyback Interactive,Paperback,228.0,4.43,0
142,625,1270,Fighting Fantasy 10 House Of Hell (Puffin Adventure Gamebooks),Steve Jackson,Puffin,Kindle,224.0,,Fighting Fantasy: The Introductory Role-playing Game,Steve   Jackson,Puffin Books,Paperback,240.0,3.56,0
