_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating,match
0,10,2999,"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,Princeton University Press,9/5/2017,Paperback,520,3.8,"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,Princeton University Press,9/27/2016,Hardcover,520,3.87,1
1,13,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,6/6/2017,Paperback,280,4.3,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,0
2,13,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,6/6/2017,Paperback,280,4.3,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,0
3,13,2888,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,6/6/2017,Paperback,280,4.3,"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,6/20/2017,Paperback,224,3.43,1
4,15,1267,"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,Touchstone,3/6/2018,Hardcover,368,4.8,"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,Touchstone Books,3/7/2017,Hardcover,353,4.16,1
5,16,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,10/10/2017,Kindle,280,4.8,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,1
6,16,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,10/10/2017,Kindle,280,4.8,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,0
7,16,2888,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,10/10/2017,Kindle,280,4.8,"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,6/20/2017,Paperback,224,3.43,0
8,20,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,Seven Seas,5/15/2018,Kindle,280,4.1,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,0
9,20,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,Seven Seas,5/15/2018,Kindle,280,4.1,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,0
10,24,893,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,1/7/2014,Paperback,360,4.5,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,1/7/2014,Paperback,360,3.57,1
11,28,477,Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,CreateSpace Independent Publishing Platform,2/16/2015,Paperback,196,4.6,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178,3.39,1
12,29,2154,Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Jay Lake,Writer's Digest Books,9/30/2013,Paperback,406,3.9,Writing Fantasy & Science Fiction: How to Create Out-Of-This-World Novels and Short Stories,Orson Scott Card,Writer's Digest Books,9/30/2013,Paperback,406,3.97,0
13,35,2044,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2/20/2014,Hardcover,384,4.4,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2/20/2014,Paperback,384,3.81,1
14,36,2201,Fantasy Football For Dummies,Martin Signore,For Dummies,7/2/2007,Hardcover,288,4.5,Fantasy Football for Dummies,Martin Signore,For Dummies,6/1/2007,Paperback,273,3.61,1
15,39,2013,"Final Fantasy X-2, Official Strategy Guide",Dan Birlew,BRADY GAMES,11/13/2003,Kindle,352,4.3,Final Fantasy X-2 Official Strategy Guide,Dan Birlew,BradyGames,11/13/2003,Paperback,352,4.07,1
16,41,2611,The Best American Science Fiction and Fantasy 2017 (The Best American Series ®),John Joseph Adams,Mariner Books,10/3/2017,Paperback,384,3.2,The Best American Science Fiction and Fantasy 2017,John Joseph Adams,Mariner Books,10/3/2017,Paperback,354,3.75,1
17,44,2611,The Best American Science Fiction and Fantasy 2015 (The Best American Series ®),John Joseph Adams,Mariner Books,10/6/2015,Paperback,368,4,The Best American Science Fiction and Fantasy 2017,John Joseph Adams,Mariner Books,10/3/2017,Paperback,354,3.75,0
18,47,631,Sci-Fi & Fantasy Oil Painting Techniques,Patrick J. Jones,Korero Press,,Paperback,192,4.6,Sci-Fi  Fantasy Oil Painting Techniques,Patrick J. Jones,Korero Press,8/1/2014,Paperback,192,4.29,1
19,60,2378,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,11/4/1999,Kindle,288,4.5,Final Fantasy VIII Official Strategy Guide,David Cassady,BradyGames,8/31/1999,Paperback,272,4.25,0
20,67,2429,Kanye West's My Beautiful Dark Twisted Fantasy (33 1/3),Kirk Walker Graves,Bloomsbury Academic,6/19/2014,Hardcover,152,3.4,Kanye West's My Beautiful Dark Twisted Fantasy,Kirk Walker Graves,Bloomsbury Academic,6/19/2014,Paperback,152,3.55,1
