ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
0,Age of Myth: Book One of The Legends of the First Empire,Michael J. Sullivan,Del Rey,2017-1-31,Paperback,464.0,4.5
1,Rise of the Dragons (Kings and Sorcerers--Book 1),Morgan Rice,Morgan Rice,2017-8-4,Hardcover,217.0,4.1
2,The Book of Deacon (Volume 1),Joseph Lallo,CreateSpace Independent Publishing Platform,2012-3-18,Kindle,322.0,4.3
3,A Quest of Heroes: Book #1 in the Sorcerer's Ring,Morgan Rice,Morgan Rice,2012-12-3,Hardcover,234.0,3.6
4,Fantasia: An Algerian Cavalcade,Dorothy S. Blair,Heinemann,1993-3-15,Kindle,227.0,4.2
5,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,2018-1-13,Kindle,157.0,4.6
6,Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2017-3-23,Paperback,178.0,4.5
7,"Final Fantasy XV Guide: Walkthrough, Side Quests, Bounty Hunts, Food Recipes, Cheats, Secrets and More",Victor Arthur,CreateSpace Independent Publishing Platform,2017-1-9,Paperback,296.0,3.7
8,"Power, Faith, and Fantasy: America in the Middle East: 1776 to the Present",Michael B. Oren,W. W. Norton &amp,2008-2-17,Paperback,864.0,4.4
9,Fantasy Flower Garden: Adult Coloring Book of Fantastic Flowers and Friendly Animals,C L Aldridge,CreateSpace Independent Publishing Platform,2018-3-3,Paperback,102.0,5.0
10,"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,Princeton University Press,2017-9-5,Paperback,520.0,3.8
11,The Wolf of the North: Wolf of the North Book 1 (Volume 1),Duncan M Hamilton,CreateSpace Independent Publishing Platform,2016-10-24,Paperback,326.0,4.3
12,Fantasy of Freedom (The Tainted Accords) (Volume 4),Kelly St Clare,Kelly St. Clare,2016-10-10,Hardcover,284.0,4.9
13,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,2017-6-6,Paperback,280.0,4.3
14,"Fantasia in D minor, K. 397: Sheet (Alfred Masterwork Edition)",Wolfgang Amadeus Mozart,Alfred Music,1987-4-1,Kindle,8.0,4.0
15,"Dueling with Kings: High Stakes, Killer Sharks, and the Get-Rich Promise of Daily Fantasy Sports",Daniel Barbarisi,Touchstone,2018-3-6,Hardcover,368.0,4.8
16,Grimgar of Fantasy and Ash (Light Novel) Vol. 3,Ao Jyumonji,Seven Seas,2017-10-10,Kindle,280.0,4.8
17,Basic Fantasy Role-Playing Game 3rd Edition,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Kindle,170.0,4.8
18,Thinblade: Sovereign of the Seven Isles: Book One,David A. Wells,CreateSpace Independent Publishing Platform,2011-6-10,Hardcover,326.0,4.3
19,Empire of Storms (Throne of Glass),Sarah J. Maas,Bloomsbury USA Childrens,2017-9-5,Paperback,720.0,4.7
20,Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,Seven Seas,2018-5-15,Kindle,280.0,4.1
21,Fantasy League,Mike Lupica,Puffin Books,2015-7-14,Hardcover,320.0,4.6
22,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,2002-0-0,Kindle,272.0,4.4
23,How to Draw and Paint Fantasy Architecture: From Ancient Citadels and Gothic Castles to Subterranean Palaces and Floating Fortresses,Rob Alexander,Barron's Educational Series,2010-11-1,Paperback,128.0,4.2
24,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-1-7,Paperback,360.0,4.5
25,How to Draw Fantasy Art and RPG Maps: Step by Step Cartography for Gamers and Fans,Jared Blando,IMPACT Books,2015-9-1,Hardcover,128.0,4.6
26,Fantasy of Flight (The Tainted Accords) (Volume 2),Kelly St. Clare,Kelly St. Clare,2017-3-14,Kindle,274.0,4.7
27,A Child's Work: The Importance of Fantasy Play,Vivian Gussin Paley,University of Chicago Press,2005-5-27,Paperback,111.0,4.6
28,Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,CreateSpace Independent Publishing Platform,2015-2-16,Paperback,196.0,4.6
29,Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Jay Lake,Writer's Digest Books,2013-9-30,Paperback,406.0,3.9
30,Fighting Fantasy: Forest of Doom,Ian Livingstone,Scholastic,2017-9-7,Kindle,232.0,4.8
31,Final Fantasy V (Boss Fight Books),Chris Kohler,Boss Fight Books,2017-10-24,Paperback,176.0,4.9
32,The Golden Ass (Penguin Classics),Apuleius,Penguin Classics,1999-1-1,Hardcover,304.0,4.3
33,Arcane (The Arinthian Line) (Volume 1),Sever Bronny,Sever Bronny Ltd.,2014-11-26,Hardcover,366.0,4.5
34,Fantasy of Frost (The Tainted Accords) (Volume 1),Kelly St. Clare,Kelly St. Clare,2017-3-14,Hardcover,264.0,4.5
35,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-2-20,Hardcover,384.0,4.4
36,Fantasy Football For Dummies,Martin Signore,For Dummies,2007-7-2,Hardcover,288.0,4.5
37,The Ballad of Titha Mae: A Fantasy in Twelve Parts,Jon B. Dalvy,Independently published,2018-1-15,Paperback,343.0,4.9
38,The Rage of Dragons,Evan Winter,Beautiful Beast,2017-9-7,Kindle,438.0,4.7
39,"Final Fantasy X-2, Official Strategy Guide",Dan Birlew,BRADY GAMES,2003-11-13,Kindle,352.0,4.3
40,"The Marechal Chronicles: Volumes I, II and III: An Erotic Fantasy Tale (Volume 1)",Aim\u00e9lie Aames,CreateSpace Independent Publishing Platform,2014-5-20,Paperback,278.0,3.3
41,The Best American Science Fiction and Fantasy 2017 (The Best American Series ®),John Joseph Adams,Mariner Books,2017-10-3,Paperback,384.0,3.2
42,Gothic - Dark Fantasy Coloring Book (Fantasy Art Coloring by Selina) (Volume 6),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-3-23,Hardcover,108.0,4.7
43,"Fantasy Life: The Outrageous, Uplifting, and Heartbreaking World of Fantasy Sports from the Guy Who's Lived It",Matthew Berry,Riverhead Books,2014-7-1,Paperback,384.0,4.6
44,The Best American Science Fiction and Fantasy 2015 (The Best American Series ®),John Joseph Adams,Mariner Books,2015-10-6,Paperback,368.0,4.0
45,Color Your Fantasy II Coloring Book,Amy Brown,CreateSpace Independent Publishing Platform,2015-7-27,Paperback,40.0,4.7
46,Arousal: The Secret Logic of Sexual Fantasies,Michael J. Bader,St. Martin's Griffin,2003-1-18,Kindle,304.0,4.1
47,Sci-Fi & Fantasy Oil Painting Techniques,Patrick J. Jones,Korero Press,,Paperback,192.0,4.6
