Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
Age of Myth: Book One of The Legends of the First Empire,Michael J. Sullivan,Del Rey,2017-1-31,Paperback,464.0,4.5
Rise of the Dragons (Kings and Sorcerers--Book 1),Morgan Rice,Morgan Rice,2017-8-4,Hardcover,217.0,4.1
The Book of Deacon (Volume 1),Joseph Lallo,CreateSpace Independent Publishing Platform,2012-3-18,Kindle,322.0,4.3
A Quest of Heroes: Book #1 in the Sorcerer's Ring,Morgan Rice,Morgan Rice,2012-12-3,Hardcover,234.0,3.6
Fantasia: An Algerian Cavalcade,Dorothy S. Blair,Heinemann,1993-3-15,Kindle,227.0,4.2
The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,2018-1-13,Kindle,157.0,4.6
Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2017-3-23,Paperback,178.0,4.5
"Final Fantasy XV Guide: Walkthrough, Side Quests, Bounty Hunts, Food Recipes, Cheats, Secrets and More",Victor Arthur,CreateSpace Independent Publishing Platform,2017-1-9,Paperback,296.0,3.7
"Power, Faith, and Fantasy: America in the Middle East: 1776 to the Present",Michael B. Oren,W. W. Norton &amp,2008-2-17,Paperback,864.0,4.4
Fantasy Flower Garden: Adult Coloring Book of Fantastic Flowers and Friendly Animals,C L Aldridge,CreateSpace Independent Publishing Platform,2018-3-3,Paperback,102.0,5.0
The Wolf of the North: Wolf of the North Book 1 (Volume 1),Duncan M Hamilton,CreateSpace Independent Publishing Platform,2016-10-24,Paperback,326.0,4.3
Fantasy of Freedom (The Tainted Accords) (Volume 4),Kelly St Clare,Kelly St. Clare,2016-10-10,Hardcover,284.0,4.9
"Fantasia in D minor, K. 397: Sheet (Alfred Masterwork Edition)",Wolfgang Amadeus Mozart,Alfred Music,1987-4-1,Kindle,8.0,4.0
Basic Fantasy Role-Playing Game 3rd Edition,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Kindle,170.0,4.8
Thinblade: Sovereign of the Seven Isles: Book One,David A. Wells,CreateSpace Independent Publishing Platform,2011-6-10,Hardcover,326.0,4.3
Empire of Storms (Throne of Glass),Sarah J. Maas,Bloomsbury USA Childrens,2017-9-5,Paperback,720.0,4.7
Grimgar of Fantasy and Ash (Light Novel) Vol. 6,Ao Jyumonji,Seven Seas,2018-5-15,Kindle,280.0,4.1
Fantasy League,Mike Lupica,Puffin Books,2015-7-14,Hardcover,320.0,4.6
Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,2002-0-0,Kindle,272.0,4.4
How to Draw and Paint Fantasy Architecture: From Ancient Citadels and Gothic Castles to Subterranean Palaces and Floating Fortresses,Rob Alexander,Barron's Educational Series,2010-11-1,Paperback,128.0,4.2
How to Draw Fantasy Art and RPG Maps: Step by Step Cartography for Gamers and Fans,Jared Blando,IMPACT Books,2015-9-1,Hardcover,128.0,4.6
Fantasy of Flight (The Tainted Accords) (Volume 2),Kelly St. Clare,Kelly St. Clare,2017-3-14,Kindle,274.0,4.7
A Child's Work: The Importance of Fantasy Play,Vivian Gussin Paley,University of Chicago Press,2005-5-27,Paperback,111.0,4.6
Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,CreateSpace Independent Publishing Platform,2015-2-16,Paperback,196.0,4.6
Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,Jay Lake,Writer's Digest Books,2013-9-30,Paperback,406.0,3.9
Fighting Fantasy: Forest of Doom,Ian Livingstone,Scholastic,2017-9-7,Kindle,232.0,4.8
The Golden Ass (Penguin Classics),Apuleius,Penguin Classics,1999-1-1,Hardcover,304.0,4.3
Arcane (The Arinthian Line) (Volume 1),Sever Bronny,Sever Bronny Ltd.,2014-11-26,Hardcover,366.0,4.5
Fantasy of Frost (The Tainted Accords) (Volume 1),Kelly St. Clare,Kelly St. Clare,2017-3-14,Hardcover,264.0,4.5
The Ballad of Titha Mae: A Fantasy in Twelve Parts,Jon B. Dalvy,Independently published,2018-1-15,Paperback,343.0,4.9
The Rage of Dragons,Evan Winter,Beautiful Beast,2017-9-7,Kindle,438.0,4.7
"The Marechal Chronicles: Volumes I, II and III: An Erotic Fantasy Tale (Volume 1)",Aim\u00e9lie Aames,CreateSpace Independent Publishing Platform,2014-5-20,Paperback,278.0,3.3
Gothic - Dark Fantasy Coloring Book (Fantasy Art Coloring by Selina) (Volume 6),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-3-23,Hardcover,108.0,4.7
"Fantasy Life: The Outrageous, Uplifting, and Heartbreaking World of Fantasy Sports from the Guy Who's Lived It",Matthew Berry,Riverhead Books,2014-7-1,Paperback,384.0,4.6
The Best American Science Fiction and Fantasy 2015 (The Best American Series ®),John Joseph Adams,Mariner Books,2015-10-6,Paperback,368.0,4.0
Color Your Fantasy II Coloring Book,Amy Brown,CreateSpace Independent Publishing Platform,2015-7-27,Paperback,40.0,4.7
Arousal: The Secret Logic of Sexual Fantasies,Michael J. Bader,St. Martin's Griffin,2003-1-18,Kindle,304.0,4.1
Reign: A Space Fantasy Romance (Strands of Starfire) (Volume 1),May Sage,Madam's Books,2018-3-1,Paperback,376.0,4.8
Color My Art: Surreal Fantasy: Grayscale & Underpainting Coloring Book,Ikuko,CreateSpace Independent Publishing Platform,2017-7-19,Hardcover,104.0,4.3
Colouring Fantasy 2 - Colouring Book by Scot Howden (Volume 2),Scot Howden,CreateSpace Independent Publishing Platform,2016-10-20,Paperback,54.0,4.6
Fantasia Mathematica,Clifton Fadiman,Copernicus,1997-4-1,Kindle,298.0,4.8
Make A Witch (A Wicked Witches of the Midwest Fantasy) (Volume 3),Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-6-5,Kindle,194.0,4.6
The Shock of Night (The Darkwater Saga),Patrick W. Carr,Bethany House Publishers,2015-11-3,Hardcover,464.0,4.4
Medieval Madness: a fantasy adventure book for kids and teens aged 9-15 (Volume 1),Paul Johnson-Jovanovic,CreateSpace Independent Publishing Platform,2017-11-19,Hardcover,142.0,5.0
Storyworld First: Creating a Unique Fantasy World for Your Novel,Jill Williamson,Novel Teen Press,2014-8-13,Paperback,176.0,4.3
The Best American Science Fiction and Fantasy 2016 (The Best American Series ®),John Joseph Adams,Mariner Books,2016-10-4,Kindle,320.0,3.4
The Basic Fantasy Field Guide,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-11-21,Paperback,86.0,4.7
The Girl from Everywhere,Heidi Heilig,Greenwillow Books,2017-2-7,Hardcover,480.0,4.3
"Billy Joel - Fantasies & Delusions: Music for Solo Piano, Op. 1-10",Billy Joel,Hal Leonard,2001-10-1,Hardcover,96.0,4.4
Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,1999-11-4,Kindle,288.0,4.5
Benny Ricciardi's Definitive Guide to Fantasy Baseball,Benjamin Ricciardi,Benny Ricciardi,2017-3-1,Paperback,251.0,4.3
Fairy Fantasy: Enchanting Fairy Adult Coloring Book,Jason Hamilton,JasonHamilton.ink,2017-5-21,Kindle,82.0,4.7
Winter Wolf (A New Dawn Novel),Rachel M. Raithby,Skyscape,2015-10-27,Paperback,348.0,4.2
The lost art of how to draw fantasy females,Frank Granados,CreateSpace Independent Publishing Platform,2012-9-9,Hardcover,82.0,3.2
"Fairies & Fantasy: Learn to paint the enchanted world of fairies, angels, and mermaids (Watercolor Made Easy)",Meredith Dillman,Walter Foster Publishing,2009-4-15,Kindle,64.0,4.5
500 Science Fiction and Fantasy Writing Prompts,Julie Wenzel,CreateSpace Independent Publishing Platform,2016-10-24,Kindle,122.0,5.0
Witch's Reign (Desert Cursed Series Book 1) (The Desert Cursed Series) (Volume 1),Shannon Mayer,CreateSpace Independent Publishing Platform,2018-2-6,Kindle,368.0,4.8
"Fantasy Coloring Adventure: A Magical World of Fantasy Creatures, Enchanted Animals, and Whimsical Scenes",Jade Summer,CreateSpace Independent Publishing Platform,2017-8-12,Kindle,86.0,4.6
The Change (Unbounded) (Volume 1),Teyla Branton,White Star Press,2013-1-10,Kindle,356.0,4.5
Enchanted - Magical Forests Coloring Collection (Fantasy Art Coloring by Selina) (Volume 3),Selina Fenech,Fairies and Fantasy Pty Ltd,2015-9-16,Hardcover,108.0,4.6
The New Voices of Fantasy,JY Yang,Tachyon Publications,2017-8-22,Paperback,336.0,4.5
The Destroyer (Volume 1),Michael-Scott Earle,CreateSpace Independent Publishing Platform,2016-2-20,Hardcover,580.0,4.3
Owls and Other Fantasies: Poems and Essays,Mary Oliver,Beacon Press,2006-4-1,Hardcover,88.0,4.9
Fantasy Map Making: A step-by-step guide for worldbuilders (Writer Resources) (Volume 2),Jesper Schmidt,CreateSpace Independent Publishing Platform,2018-1-15,Hardcover,164.0,3.7
Fantasy Islands: Chinese Dreams and Ecological Fears in an Age of Climate Crisis,Julie Sze,University of California Press,2015-1-5,Kindle,248.0,4.0
Marking Time: The Immortal Descendants: Book 1,April White,Corazon Entertainment,2012-11-5,Paperback,436.0,4.7
The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,St. Martin's Griffin,1999-7-30,Hardcover,624.0,4.3
The Queen's Poisoner (The Kingfountain Series),Jeff Wheeler,47North,2016-4-1,Hardcover,334.0,4.5
The Hundredth Queen (The Hundredth Queen Series),Emily R. King,Skyscape,2017-6-1,Paperback,300.0,4.3
DOTTY and the Calendar House Key: (A magical fantasy adventure for 8-12 year olds) (The DOTTY Series) (Volume 1),Emma Warner-Reed,Calendar House Press,2016-11-17,Paperback,234.0,4.8
The Fantasy Illustrator's Technique Book (Quarto Book),Gary A. Lippincott,Barron's Educational Series,2007-2-1,Kindle,128.0,4.4
Writing Fantasy: The Top 100 Best Strategies For Writing Fantasy Stories,Blaine Hart,Lord Hart Productions,2017-3-23,Paperback,80.0,4.6
Fantasy of Fire (The Tainted Accords) (Volume 3),Kelly St. Clare,Kelly St. Clare,2016-1-14,Hardcover,294.0,4.9
Enchantress (The Evermen Saga),James Maxwell,47North,2014-7-29,Paperback,624.0,4.3
Russian Fairy Tales (The Pantheon Fairy Tale and Folklore Library),Aleksandr Afanasev,Pantheon Books,1973-0-0,Hardcover,672.0,4.2
The Flame and the Arrow (The Annika Brisby Series) (Volume 1),Emigh Cannaday,CreateSpace Independent Publishing Platform,2010-11-22,Kindle,438.0,4.4
The Paladin Prophecy: Book 1,Mark Frost,Ember,2014-1-7,Hardcover,528.0,4.5
Undercover Magic (Dragon's Gift: The Valkyrie) (Volume 1),Linsey Hall,Bonnie Doon Press LLC,2017-11-16,Hardcover,216.0,4.5
Flesh for Fantasy: Producing and Consuming Exotic Dance,Merri Lisa Johnson,Seal Press,2005-12-21,Paperback,272.0,4.4
Harbinger of Doom (Volumes 1 - 3): Three Book Bundle,Glenn G Thater,CreateSpace Independent Publishing Platform,2017-5-19,Kindle,650.0,4.0
"Vietnam and Other American Fantasies (Culture, Politics, and the Cold War)",H. Bruce Franklin,University of Massachusetts Press,2001-10-25,Hardcover,272.0,3.6
Fairyland - A Coloring Book For Adults: Fantasy Coloring for Grownups by Molly Harrison,Molly Harrison,CreateSpace Independent Publishing Platform,2017-1-18,Hardcover,54.0,4.8
Private Thoughts: Exploring the Power of Women's Sexual Fantasies,Wendy Maltz,BookSurge Publishing,2008-5-2,Kindle,304.0,4.3
Adult Coloring Book: Dragon Life: Dragons and Dragon Masters in Fantasy Realms  35+ Original Illustrations,Nathaniel Wake,CreateSpace Independent Publishing Platform,2017-8-24,Kindle,96.0,4.9
Fantasy Football for Smart People: What the Experts Don't Want You to Know,Jonathan Bales,CreateSpace Independent Publishing Platform,2013-5-14,Kindle,226.0,3.9
Today Is Too Late (The Shedim Rebellion) (Volume 1),Burke Fitzpatrick,Blade Books LLC,2013-10-10,Kindle,356.0,4.8
Final Fantasy Origins: Official Strategy Guide,Casey Loe,BradyGames,2003-4-19,Hardcover,256.0,4.6
Dragon's Blood: a Reverse Harem Fantasy Romance (The Dragon's Gift Trilogy) (Volume 2),May Sage,Dynamo Press,2017-11-11,Paperback,286.0,4.6
"Fantasy Football Basics: The Ultimate ""How-to"" Guide for Beginners",Sam Hendricks,Extra Point Press,2010-5-26,Kindle,160.0,4.6
Borrowed Magic: An Urban Fantasy Novel (Witch's Bite Series) (Volume 1),Stephanie Foxe,CreateSpace Independent Publishing Platform,2017-10-1,Hardcover,132.0,4.0
Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,Dan Birlew,Brady Games,2001-7-2,Hardcover,160.0,4.5
Adventure Anthology 1,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-7-27,Kindle,86.0,4.9
"Mermaids, Fairies & Fantasy: Grayscale Coloring Book for Grownups, Adults (Wingfeather Coloring Books) (Volume 4)",Wingfeather Coloring Books,CreateSpace Independent Publishing Platform,2015-11-4,Paperback,86.0,3.1
Fantasy World. Grayscale coloring book: Adult coloring book,Alena Lazareva,CreateSpace Independent Publishing Platform,2017-4-8,Paperback,68.0,4.6
The Sword of the Wormling,Chris Fabry,"Tyndale House Publishers, Inc.",2007-10-1,Paperback,336.0,4.9
Faedorables - Sweet and Simple Coloring Book (Fantasy Coloring by Selina) (Volume 14),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-11-18,Hardcover,108.0,4.7
The Encyclopedia of Fantasy,John Grant,St. Martin's Griffin,1999-3-15,Kindle,1088.0,4.1
Drawing and Painting Fantasy Landscapes and Cityscapes,Martin McKenna,Barron's Educational Series,2006-7-1,Hardcover,128.0,4.3
Uprooted: A Novel,Naomi Novik,Del Rey,2016-3-1,Kindle,464.0,4.6
"Slave, Warrior, Queen (of Crowns and Glory--Book 1)",Morgan Rice,Morgan Rice,2017-8-2,Paperback,191.0,3.6
Official Nintendo Power FINAL FANTASY V ADVANCE Player's Guide,Nintendo Power,Nintendo of America Inc.,2006-10-30,Hardcover,128.0,4.2
"A World of Fairies - A Fantasy Grayscale Coloring Book for Adults: Flower Fairies, and Celestial Fairies by Molly Harrison Fantasy Art",Molly Harrison,CreateSpace Independent Publishing Platform,2017-1-18,Hardcover,56.0,4.5
The Seven (The Vagrant Trilogy),Peter Newman,HarperVoyager,2017-10-3,Kindle,464.0,4.6
"Gaming As Culture: Essays on Reality, Identity And Experience in Fantasy Games",J. Patrick Williams,McFarland,2006-3-21,Kindle,224.0,3.6
