Author,Format,ID,Name,Pages,Publisher,Publishing_Date,Rating
Michael J. Sullivan,Paperback,0.0,Age of Myth: Book One of The Legends of the First Empire,464.0,Del Rey,2017-1-31,4.5
Morgan Rice,Hardcover,1.0,Rise of the Dragons (Kings and Sorcerers--Book 1),217.0,Morgan Rice,2017-8-4,4.1
Joseph Lallo,Kindle,2.0,The Book of Deacon (Volume 1),322.0,CreateSpace Independent Publishing Platform,2012-3-18,4.3
Morgan Rice,Hardcover,3.0,A Quest of Heroes: Book #1 in the Sorcerer's Ring,234.0,Morgan Rice,2012-12-3,3.6
Dorothy S. Blair,Kindle,4.0,Fantasia: An Algerian Cavalcade,227.0,Heinemann,1993-3-15,4.2
Joe Pisapia,Kindle,5.0,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),157.0,Independently published,2018-1-13,4.6
Jonathan Bales,Paperback,6.0,Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,178.0,CreateSpace Independent Publishing Platform,2017-3-23,4.5
Victor Arthur,Paperback,7.0,"Final Fantasy XV Guide: Walkthrough, Side Quests, Bounty Hunts, Food Recipes, Cheats, Secrets and More",296.0,CreateSpace Independent Publishing Platform,2017-1-9,3.7
Michael B. Oren,Paperback,8.0,"Power, Faith, and Fantasy: America in the Middle East: 1776 to the Present",864.0,W. W. Norton &amp,2008-2-17,4.4
C L Aldridge,Paperback,9.0,Fantasy Flower Garden: Adult Coloring Book of Fantastic Flowers and Friendly Animals,102.0,CreateSpace Independent Publishing Platform,2018-3-3,5.0
Duncan M Hamilton,Paperback,11.0,The Wolf of the North: Wolf of the North Book 1 (Volume 1),326.0,CreateSpace Independent Publishing Platform,2016-10-24,4.3
Kelly St Clare,Hardcover,12.0,Fantasy of Freedom (The Tainted Accords) (Volume 4),284.0,Kelly St. Clare,2016-10-10,4.9
Wolfgang Amadeus Mozart,Kindle,14.0,"Fantasia in D minor, K. 397: Sheet (Alfred Masterwork Edition)",8.0,Alfred Music,1987-4-1,4.0
Chris Gonnerman,Kindle,17.0,Basic Fantasy Role-Playing Game 3rd Edition,170.0,CreateSpace Independent Publishing Platform,2014-11-21,4.8
David A. Wells,Hardcover,18.0,Thinblade: Sovereign of the Seven Isles: Book One,326.0,CreateSpace Independent Publishing Platform,2011-6-10,4.3
Sarah J. Maas,Paperback,19.0,Empire of Storms (Throne of Glass),720.0,Bloomsbury USA Childrens,2017-9-5,4.7
Ao Jyumonji,Kindle,20.0,Grimgar of Fantasy and Ash (Light Novel) Vol. 6,280.0,Seven Seas,2018-5-15,4.1
Mike Lupica,Hardcover,21.0,Fantasy League,320.0,Puffin Books,2015-7-14,4.6
Dan Birlew,Kindle,22.0,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),272.0,BRADY GAMES,2002-0-0,4.4
Rob Alexander,Paperback,23.0,How to Draw and Paint Fantasy Architecture: From Ancient Citadels and Gothic Castles to Subterranean Palaces and Floating Fortresses,128.0,Barron's Educational Series,2010-11-1,4.2
Jared Blando,Hardcover,25.0,How to Draw Fantasy Art and RPG Maps: Step by Step Cartography for Gamers and Fans,128.0,IMPACT Books,2015-9-1,4.6
Kelly St. Clare,Kindle,26.0,Fantasy of Flight (The Tainted Accords) (Volume 2),274.0,Kelly St. Clare,2017-3-14,4.7
Vivian Gussin Paley,Paperback,27.0,A Child's Work: The Importance of Fantasy Play,111.0,University of Chicago Press,2005-5-27,4.6
Jonathan Bales,Paperback,28.0,Fantasy Baseball for Smart People: How to Profit Big During MLB Season,196.0,CreateSpace Independent Publishing Platform,2015-2-16,4.6
Jay Lake,Paperback,29.0,Writing Fantasy & Science Fiction: How to Create Out-of-This-World Novels and Short Stories,406.0,Writer's Digest Books,2013-9-30,3.9
Ian Livingstone,Kindle,30.0,Fighting Fantasy: Forest of Doom,232.0,Scholastic,2017-9-7,4.8
